Product name,Price,Discount,Date,Source
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-11,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-12,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-13,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-14,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-15,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-16,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-17,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-18,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-19,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-20,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-21,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-22,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-23,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-24,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-24,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-24,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-24,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-24,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-24,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-24,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-24,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-24,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-25,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-25,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-25,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-25,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-25,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-25,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-25,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-25,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-25,Amazon
